date,dji
2021-04-06,1000000.0
2021-04-07,1000479.3097005528
2021-04-08,1002193.5838635985
2021-04-09,1011078.6910381588
2021-04-12,1009427.3978425923
2021-04-13,1007389.4552566964
2021-04-14,1008993.4250907995
2021-04-15,1018119.8229849215
2021-04-16,1023046.0096415799
2021-04-19,1019365.4205977676
2021-04-20,1011697.8675625934
2021-04-21,1021150.6213791055
2021-04-22,1011536.2670467804
2021-04-23,1018344.1707726013
2021-04-26,1016492.0161983777
2021-04-27,1016592.5053116091
2021-04-28,1011670.2914803576
2021-04-29,1018848.8364470742
2021-04-30,1013299.7341361869
2021-05-03,1020430.3715024092
2021-05-04,1021022.6730314447
2021-05-05,1023933.4687287811
2021-05-06,1033451.540468894
2021-05-07,1040308.5202732696
2021-05-10,1039263.3166478563
2021-05-11,1025094.7022256352
2021-05-12,1004708.9665851496
2021-05-13,1017684.9154506802
2021-05-14,1028473.9407775592
2021-05-17,1026848.4709471369
2021-05-18,1018857.8337281427
2021-05-19,1013933.5166363816
2021-05-20,1019560.4395861204
2021-05-21,1023260.4253657424
2021-05-24,1028828.4570212151
2021-05-25,1026389.9601560667
2021-05-26,1026706.7345583581
2021-05-27,1030942.116985453
2021-05-28,1032880.7389361778
2021-06-01,1034252.5321795937
2021-06-02,1035002.4613990352
2021-06-03,1034304.2957576885
2021-06-04,1039669.2459261889
2021-06-07,1035895.6460287345
2021-06-08,1034985.7521627652
2021-06-09,1030418.6388142005
2021-06-10,1030989.9077381408
2021-06-11,1031389.6440827512
2021-06-14,1028821.5630006563
2021-06-15,1025997.117832015
2021-06-16,1018050.5322359144
2021-06-17,1011762.133855939
2021-06-18,995807.3838699316
2021-06-21,1013363.0656470838
2021-06-22,1015415.3805131279
2021-06-23,1013281.3890306319
2021-06-24,1022930.7977047819
2021-06-25,1030020.7720344873
2021-06-28,1025516.7565012076
2021-06-29,1025786.5580854532
2021-06-30,1032074.9564654286
2021-07-01,1035994.1487292625
2021-07-02,1040565.4685988463
2021-07-06,1034314.2278212056
2021-07-07,1037437.6865256134
2021-07-08,1029664.5030737399
2021-07-09,1043072.4382783598
2021-07-12,1046842.0653504074
2021-07-13,1043629.6854655702
2021-07-14,1044959.0629553777
2021-07-15,1046568.0572451423
2021-07-16,1037619.0343206543
2021-07-19,1015907.777167962
2021-07-20,1032358.4292429864
2021-07-21,1040913.9087565861
2021-07-22,1041672.2510180658
2021-07-23,1048797.5133852083
2021-07-26,1051273.0510048852
2021-07-27,1048706.8394876877
2021-07-28,1044890.2395975947
2021-07-29,1049484.9290283953
2021-07-30,1045026.0167482635
2021-08-02,1042115.2210509268
2021-08-03,1050438.1734304214
2021-08-04,1040754.5283490889
2021-08-05,1048878.2552192118
2021-08-06,1053193.5615456672
2021-08-09,1050003.032200568
2021-08-10,1054873.4824537244
2021-08-11,1061463.231325588
2021-08-12,1061908.421466765
2021-08-13,1062372.8914959452
2021-08-16,1065663.9099542762
2021-08-17,1057224.9277033412
2021-08-18,1045780.5030321421
2021-08-19,1043789.1827208736
2021-08-20,1050548.2440637518
2021-08-23,1056998.4766551522
2021-08-24,1057912.3433465282
2021-08-25,1059086.0795586333
2021-08-26,1053331.4419568456
2021-08-27,1060590.7287575656
2021-08-30,1058916.7670876188
2021-08-31,1057746.8868531145
2021-09-01,1056305.101773855
2021-09-02,1060232.3565363085
2021-09-03,1057996.9411581322
2021-09-07,1049947.6463404845
2021-09-08,1047885.7499543417
2021-09-09,1043348.1991007158
2021-09-10,1035222.0184266653
2021-09-13,1043056.5469767326
2021-09-14,1034320.1870593157
2021-09-15,1041404.2021509111
2021-09-16,1039517.577473893
2021-09-17,1034538.8093044973
2021-09-20,1016159.9347334895
2021-09-21,1014645.470318846
2021-09-22,1024770.4495637546
2021-09-23,1039921.4034917164
2021-09-24,1040913.9087565861
2021-09-27,1043048.835021531
2021-09-28,1026016.8651112431
2021-09-29,1028730.8891031359
2021-09-30,1012374.5332076206
2021-10-01,1026808.7426930686
2021-10-04,1017130.7063064281
2021-10-05,1026456.0960143097
2021-10-06,1029516.6905990447
2021-10-07,1039625.8953901321
2021-10-08,1039365.9090215972
2021-10-11,1031881.9238897794
2021-10-12,1028360.5984056585
2021-10-13,1028344.707104031
2021-10-14,1044340.7043655859
2021-10-15,1055773.5611039826
2021-10-18,1054692.1346586836
2021-10-19,1060635.8320107134
2021-10-20,1065183.5486234687
2021-10-21,1064996.2415903173
2021-10-22,1067208.0537116649
2021-10-25,1069126.3441441313
2021-10-26,1069596.8902592282
2021-10-27,1061634.4133614998
2021-10-28,1068807.2327857183
2021-10-29,1071471.8301556378
2021-11-01,1074292.06880326
2021-11-02,1078443.6713533932
2021-11-03,1081583.0213594283
2021-11-04,1080585.4916388968
2021-11-05,1086679.3384217436
2021-11-08,1089798.3569095205
2021-11-09,1086440.9688973343
2021-11-10,1079260.6712135265
2021-11-11,1074513.1448523693
2021-11-12,1079869.9156744438
2021-11-15,1079485.2526968182
2021-11-16,1081123.5757859098
2021-11-17,1074806.900236862
2021-11-18,1073009.0798924675
2021-11-19,1064963.407356808
2021-11-22,1065479.9915075016
2021-11-23,1071299.5964894712
2021-11-24,1071017.7595811987
2021-11-26,1043945.2913898006
2021-11-29,1051022.7630042552
2021-11-30,1031512.8016703627
2021-12-01,1017702.5594693987
2021-12-02,1036181.3389146078
2021-12-03,1034395.2033508213
2021-12-06,1053747.5369943075
2021-12-07,1068476.6703423092
2021-12-08,1069533.2082049127
2021-12-09,1069531.4554878215
2021-12-10,1076001.552206256
2021-12-13,1066428.211453866
2021-12-14,1063234.410370196
2021-12-15,1074698.582320623
2021-12-16,1073807.500951433
2021-12-17,1057887.8053072507
2021-12-20,1044927.046656511
2021-12-21,1061694.4731338266
2021-12-22,1069507.5016875744
2021-12-23,1075390.4381804413
2021-12-27,1085914.4526831238
2021-12-28,1088781.0799097607
2021-12-29,1091485.7560771666
2021-12-30,1088777.107084354
2021-12-31,1086988.985107864
2022-01-03,1094370.2610181347
2022-01-04,1100789.295245311
2022-01-05,1089047.2592120182
2022-01-06,1083942.8796510831
2022-01-07,1083799.0400017947
2022-01-10,1078929.524531087
2022-01-11,1084408.0507671
2022-01-12,1085553.743505745
2022-01-13,1080268.132997575
2022-01-14,1074231.3079440969
2022-01-18,1057978.3623569652
2022-01-19,1047813.30431457
2022-01-20,1038442.8113535404
2022-01-21,1024981.3598537345
2022-01-24,1027946.606628706
2022-01-25,1025949.3270793272
2022-01-26,1022071.3820910405
2022-01-27,1021852.7598458591
2022-01-28,1038744.2786932348
2022-01-31,1050900.6570468985
2022-02-01,1059078.2507556255
2022-02-02,1065781.4588471958
2022-02-03,1050281.4805224638
2022-02-04,1049640.6871539042
2022-02-07,1049682.2849728698
2022-02-08,1060799.535787036
2022-02-09,1069931.308680238
2022-02-10,1054183.0287675792
2022-02-11,1039120.8791722408
2022-02-14,1033979.2251611652
2022-02-15,1046622.5083227771
2022-02-16,1044990.144471796
2022-02-17,1026377.1068973974
2022-02-18,1019411.8091767827
2022-02-22,1004976.6649088863
2022-02-23,991071.6591371888
2022-02-24,993825.6450787619
2022-02-25,1018800.695150968
2022-02-28,1013830.6905670285
2022-03-01,995953.0930841172
2022-03-02,1013793.2992690819
2022-03-03,1010900.9655251064
2022-03-04,1005520.8251418152
2022-03-07,981667.5140080071
2022-03-08,976141.4307149181
2022-03-09,995692.8730199701
2022-03-10,992337.237724875
2022-03-11,985460.8611846896
2022-03-14,985492.1763967199
2022-03-15,1003413.1244156879
2022-03-16,1018930.8636069446
2022-03-17,1031424.3478811578
2022-03-18,1039625.5448467138
2022-03-21,1033584.8638156346
2022-03-22,1041196.9141429196
2022-03-23,1027767.1283985623
2022-03-24,1038219.9825873399
2022-03-25,1042805.5578892658
2022-03-28,1045636.897078466
2022-03-29,1055756.5013242946
2022-03-30,1053800.7027460753
2022-03-31,1037334.8604562603
2022-04-01,
